communities,Avg_rent_sq.ft_AED,size_sqft,size_sqr_meter,rent_AED
Al Warqa'a Second,112,2867,266.350799,321104
Al Warqa'a Third,112,2509,233.0917874,281008
Al Wasl,82,1791,166.3879599,146862
Al Waheda,89,3422,317.911557,304558
Ayal Nasir,191,2478,230.2118172,473298
Aleyas,84,965,89.65068748,81060
Business Bay,82,2900,269.4165738,237800
Bu Kadra,82,3347,310.943887,274454
Downtown Dubai,280,3029,281.4009662,848120
Dubai Investment park First,100,3019,280.4719435,301900
Dubai Investment Park Second,100,2449,227.5176514,244900
Emirates Hill First,110,2603,241.8246005,286330
Emirates Hill Second,110,1741,161.7428465,191510
Emirates Hill Third,110,2110,196.023783,232100
Hatta,90,2366,219.8067633,212940
Hor Al Anz,90,2641,245.3548867,237690
Hor Al Anz East,90,1822,169.2679301,163980
Jebel Ali 1,85,893,82.96172427,75905
Jebel Ali 2,85,3009,279.5429208,255765
Jebel Ali Industrial,82,2570,238.7588257,210740
Jebel Ali Palm,85,1534,142.5120773,130390
Jumeira First,85,1859,172.705314,158015
Palm Jumeira,220,2829,262.8205128,622380
Jumeira Second,220,2574,239.1304348,566280
Jumeira Third,220,1704,158.3054627,374880
Marsa Dubai,110,3202,297.4730583,352220
Mirdif,90,3468,322.1850613,312120
Muhaisanah Fourth,90,2811,261.148272,252990
Muhaisanah Second,90,2460,228.5395764,221400
Muhaisanah Third,90,965,89.65068748,86850
Muhaisnah First,90,1077,100.0557414,96930
Nad Al Hammar,100,3342,310.4793757,334200
Nadd Al Shiba Fourth,100,993,92.25195095,99300
Nadd Al Shiba Second,100,1152,107.0234114,115200
Nadd Al Shiba Third,100,2061,191.4715719,206100
Nad Shamma,100,2605,242.0104051,260500
Naif,100,1733,160.9996284,173300
Port Saeed,130,3462,321.6276477,450060
Arabian Ranches,100,1402,130.2489781,140200
Oud Al Muteena Third,100,1915,177.907841,191500
Ras Al Khor,90,2466,229.09699,221940
Ras Al Khor Industrial First,90,2147,199.4611669,193230
Ras Al Khor Industrial Second,90,1195,111.0182088,107550
Ras Al Khor Industrial Third,90,907,84.262356,81630
Rigga Al Buteen,150,3176,295.0575994,476400
Trade Centre 1,170,1990,184.875511,338300
Trade Centre 2,170,3336,309.9219621,567120
Umm Al Sheif,90,3465,321.9063545,311850
Umm Hurair First,85,2423,225.1021925,205955
Umm Hurair Second,95,2292,212.9319955,217740
Umm Ramool,90,1348,125.2322557,121320
Umm Suqeim First,90,2000,185.8045336,180000
Umm Suqeim Second,90,1325,123.0955035,119250
Umm Suqeim Third,87,2527,234.7640282,219849
Wadi Alamardi,85,3008,279.4500186,255680
Warsan First,82,3211,298.3091787,263302
Warsan Second,85,1874,174.098848,159290
Yaraah,90,2513,233.4633965,226170
Za'abeel First,110,2353,218.5990338,258830
Za'abeel Second,110,1173,108.974359,129030
